Number,Name,IPA,Evolves from,Evolves into,Total evolutionary stages,Evolutionary stage code,Baby,Legendary,Types,Weight lb,Height in,Percentage male,Percentage female,HP,Attack,Defense,Special Attack,Special Defense,Speed,Total Power
1,Bulbasaur,ˈbʊlbəsɔːɹ,,Ivysaur,3,3a,FALSE,FALSE,"Grass, Poison",15.2,28,87.5,12.5,45,49,49,65,65,45,318
2,Ivysaur,ˈaɪviːsɔːɹ,Bulbasaur,Venusaur,3,3b,FALSE,FALSE,"Grass, Poison",28.7,39,87.5,12.5,60,62,63,80,80,60,405
3,Venusaur,ˈviːnəsɔːɹ,Ivysaur,,3,3c,FALSE,FALSE,"Grass, Poison",220.5,79,87.5,12.5,80,82,83,100,100,80,525
4,Charmander,ˈtʃɑːɹmændɚ,,Charmeleon,3,3a,FALSE,FALSE,Fire,18.7,24,87.5,12.5,39,52,43,60,50,65,309
5,Charmeleon,tʃɑːɹˈmiːljən,Charmander,Charizard,3,3b,FALSE,FALSE,Fire,41.9,43,87.5,12.5,58,64,58,80,65,80,405
6,Charizard,ˈtʃɑːɹɪzɑːɹd,Charmeleon,,3,3c,FALSE,FALSE,"Fire, Flying",199.5,67,87.5,12.5,78,84,78,109,85,100,534
7,Squirtle,ˈskwɝːɾəl,,Wartortle,3,3a,FALSE,FALSE,Water,19.8,20,87.5,12.5,44,48,65,50,64,43,314
8,Wartortle,ˈwɔːɹtɔːɹɾəl,Squirtle,Blastoise,3,3b,FALSE,FALSE,Water,49.6,39,87.5,12.5,59,63,80,65,80,58,405
9,Blastoise,ˈblæstɔɪs,Wartortle,,3,3c,FALSE,FALSE,Water,188.5,63,87.5,12.5,79,83,100,85,105,78,530
10,Caterpie,ˈkæɾɚpiː,,Metapod,3,3a,FALSE,FALSE,Bug,6.4,12,50,50,45,30,35,20,20,45,195
11,Metapod,ˈmɛɾəpɑːd,Caterpie,Butterfree,3,3b,FALSE,FALSE,Bug,21.8,28,50,50,50,20,55,25,25,30,205
12,Butterfree,ˈbʌɾɚfɹiː,Metapod,,3,3c,FALSE,FALSE,"Bug, Flying",70.5,43,50,50,60,45,50,80,80,70,385
13,Weedle,ˈwiːdəl,,Kakuna,3,3a,FALSE,FALSE,"Bug, Poison",7.1,12,50,50,40,35,30,20,20,50,195
14,Kakuna,kəˈkuːnə,Weedle,Beedrill,3,3b,FALSE,FALSE,"Bug, Poison",22,24,50,50,45,25,50,25,25,35,205
15,Beedrill,ˈbiːdɹɪl,Kakuna,,3,3c,FALSE,FALSE,"Bug, Poison",65,39,50,50,65,80,40,45,80,75,385
16,Pidgey,ˈpɪdʒiː,,Pidgeotto,3,3a,FALSE,FALSE,"Normal, Flying",4,12,50,50,40,45,40,35,35,56,251
17,Pidgeotto,ˌpɪdʒiːˈoʊɾoʊ,Pidgey,Pidgeot,3,3b,FALSE,FALSE,"Normal, Flying",66.1,43,50,50,63,60,55,50,50,71,349
18,Pidgeot,ˈpɪdʒiːɑːt,Pidgeotto,,3,3c,FALSE,FALSE,"Normal, Flying",87.1,59,50,50,83,80,75,70,70,91,469
19,Rattata,ɹəˈtæɾə,,Raticate,2,2a,FALSE,FALSE,"Dark, Normal, Normal",7.7,12,50,50,30,56,35,25,35,72,253
20,Raticate,ˈɹæɾɪkeɪt,Rattata,,2,2b,FALSE,FALSE,"Dark, Normal, Normal",40.8,28,50,50,55,81,60,50,70,97,413
21,Spearow,ˈspɪɹoʊ,,Fearow,2,2a,FALSE,FALSE,"Normal, Flying",4.4,12,50,50,40,60,30,31,31,70,262
22,Fearow,ˈfɪɹoʊ,Spearow,,2,2b,FALSE,FALSE,"Normal, Flying",83.8,47,50,50,65,90,65,61,61,100,442
23,Ekans,ˈɛkənz,,Arbok,2,2a,FALSE,FALSE,Poison,15.2,79,50,50,35,60,44,40,54,55,288
24,Arbok,ˈɑːɹbɑːk,Ekans,,2,2b,FALSE,FALSE,Poison,143.3,138,50,50,60,85,69,65,79,80,438
